name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,fsharp,3,12,565,0.836,20828,0,0% 6% 9% 93%,0.840
binarytrees,fsharp,3,16,565,2.040,44292,0,0% 98% 2% 2%,2.043
binarytrees,fsharp,3,20,565,37.344,173072,0,74% 8% 4% 16%,37.354
binarytrees,ifc,1,12,826,0.232,300,0,15% 4% 4% 96%,0.247
binarytrees,ifc,1,16,826,7.524,10472,0,1% 3% 100% 1%,7.537
binarytrees,ifc,1,20,826,177.991,153820,0,0% 0% 0% 100%,178.172
binarytrees,gcc,3,12,906,0.032,0,0,%,0.000
binarytrees,gcc,3,16,906,0.468,0,0,87% 60% 93% 87%,0.147
binarytrees,gcc,3,20,906,9.744,103700,0,76% 76% 100% 93%,2.851
binarytrees,python3,6,12,626,1.024,7944,0,23% 26% 64% 48%,1.088
binarytrees,python3,6,16,626,22.976,68848,0,91% 97% 90% 90%,6.332
binarytrees,python3,6,20,626,526.560,688512,0,93% 96% 96% 94%,139.255
binarytrees,yarv,5,12,1123,0.568,3948,0,27% 61% 39% 30%,0.552
binarytrees,yarv,5,16,1123,10.840,51320,0,93% 73% 66% 96%,3.322
binarytrees,yarv,5,20,1123,218.712,131028,0,65% 68% 64% 96%,75.022
binarytrees,gcc,5,12,963,0.164,0,0,67% 67% 83% 83%,0.058
binarytrees,gcc,5,16,963,3.444,8692,0,95% 88% 97% 95%,0.929
binarytrees,gcc,5,20,963,114.100,112636,0,93% 88% 92% 85%,32.038
binarytrees,jruby,1,12,412,5.644,107808,0,72% 58% 52% 61%,2.342
binarytrees,jruby,1,16,412,11.596,605188,0,54% 20% 56% 43%,6.757
binarytrees,jruby,1,20,412,261.636,891920,0,37% 89% 35% 36%,133.492
binarytrees,clojure,6,12,705,2.568,52624,0,42% 32% 97% 21%,1.351
binarytrees,clojure,6,16,705,3.908,317396,0,22% 50% 65% 15%,2.641
binarytrees,clojure,6,20,705,32.932,523000,0,24% 58% 18% 27%,26.120
binarytrees,java,2,12,603,0.228,3936,0,32% 7% 18% 53%,0.729
binarytrees,java,2,16,603,0.976,153580,0,21% 29% 60% 7%,0.845
binarytrees,java,2,20,603,18.024,471008,0,62% 21% 22% 34%,13.132
binarytrees,yarv,3,12,439,0.540,5620,0,0% 89% 13% 0%,0.558
binarytrees,yarv,3,16,439,10.780,34216,0,1% 1% 100% 1%,10.789
binarytrees,yarv,3,20,439,220.520,343968,0,0% 1% 1% 100%,220.618
binarytrees,fsharp,2,12,515,1.328,25008,0,24% 17% 18% 43%,2.077
binarytrees,fsharp,2,16,515,3.060,52540,0,98% 1% 2% 1%,3.065
binarytrees,fsharp,2,20,515,62.804,262412,0,56% 24% 0% 21%,62.810
binarytrees,gpp,6,12,892,0.036,0,0,0% 50% 100% 50%,0.018
binarytrees,gpp,6,16,892,0.640,260,0,83% 44% 76% 91%,0.232
binarytrees,gpp,6,20,892,15.888,179668,0,73% 70% 97% 77%,5.054
binarytrees,clojure,2,12,750,2.556,53524,0,75% 36% 48% 38%,1.296
binarytrees,clojure,2,16,750,3.764,119524,0,49% 81% 56% 35%,1.712
binarytrees,clojure,2,20,750,32.432,517208,0,77% 78% 93% 75%,10.171
binarytrees,go,5,12,1000,0.240,0,0,56% 90% 78% 75%,0.086
binarytrees,go,5,16,1000,6.208,14196,0,89% 88% 91% 89%,1.748
binarytrees,go,5,20,1000,132.764,178404,0,99% 99% 99% 99%,33.833
binarytrees,go,6,12,937,0.080,0,0,0% 50% 75% 25%,0.046
binarytrees,go,6,16,937,2.140,18180,0,52% 49% 55% 57%,1.020
binarytrees,go,6,20,937,39.136,281436,0,52% 57% 56% 61%,17.547
binarytrees,gnat,4,12,2167,0.040,0,0,33% 25% 33% 0%,0.030
binarytrees,gnat,4,16,2167,0.692,252,0,72% 61% 68% 50%,0.287
