name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,ghc,5,20,611,22.583,204336,0,1% 0% 0% 100%,22.599
binarytrees,php,3,20,483,0.000,2106340,-2,1% 2% 1% 100%,13.629
binarytrees,hack,2,20,468,66.584,385236,0,1% 1% 1% 100%,66.670
binarytrees,scala,4,20,494,23.247,450892,0,0% 0% 0% 100%,23.279
binarytrees,yarv,4,20,402,156.878,652544,0,1% 1% 1% 100%,157.052
binarytrees,scala,2,20,641,0.000,804,-2,0% 4% 4% 100%,0.256
binarytrees,yarv,2,20,413,190.058,825196,0,1% 1% 0% 100%,190.214
binarytrees,oz,1,20,479,1603.720,1556232,0,0% 0% 0% 100%,1604.761
binarytrees,perl,3,20,706,0.000,0,-2,0% 0% 7% 94%,0.152
binarytrees,hipe,2,20,499,57.352,647288,0,0% 0% 0% 100%,57.441
binarytrees,go,6,20,937,51.636,406584,0,1% 1% 1% 100%,51.705
binarytrees,go,3,20,836,30.687,623560,0,1% 0% 1% 100%,30.735
binarytrees,sbcl,1,20,612,31.372,310180,0,0% 1% 1% 100%,31.429
binarytrees,fpascal,1,20,769,41.606,131376,0,1% 1% 1% 100%,41.645
binarytrees,ghc,1,20,521,25.422,314880,0,0% 1% 0% 100%,25.462
binarytrees,gcc,1,20,706,36.247,131668,0,2% 1% 1% 100%,36.280
binarytrees,racket,3,20,877,0.000,30352,-10,0% 0% 4% 98%,0.493
binarytrees,dart,1,20,503,28.316,292228,0,1% 1% 0% 100%,28.350
binarytrees,php,2,20,472,640.276,1025292,0,0% 0% 0% 100%,641.068
binarytrees,fsharp,2,20,515,73.864,246528,0,1% 1% 0% 100%,73.968
binarytrees,hack,3,20,480,52.310,582848,0,1% 1% 0% 100%,52.387
binarytrees,vw,1,20,722,81.401,320668,0,0% 0% 0% 100%,81.494
binarytrees,lua,2,20,446,461.005,1776376,0,0% 0% 0% 100%,461.638
binarytrees,ats,3,20,2143,16.349,296320,0,0% 0% 0% 100%,16.381
binarytrees,gpp,2,20,553,39.306,197752,0,1% 1% 1% 100%,39.344
binarytrees,go,4,20,688,105.851,362944,0,0% 1% 1% 100%,106.000
binarytrees,gcc,7,20,850,9.543,149204,0,2% 1% 0% 100%,9.555
binarytrees,jruby,3,20,439,223.315,1011384,0,0% 1% 0% 100%,223.574
binarytrees,go,7,20,567,104.046,315704,0,1% 1% 1% 100%,104.191
binarytrees,ifc,1,20,826,47.991,132032,0,3% 0% 0% 100%,48.018
binarytrees,jruby,5,20,1123,1428.957,1054964,0,1% 1% 1% 100%,1430.331
binarytrees,csharp,1,20,654,24.592,133464,0,1% 1% 0% 100%,24.629
binarytrees,ats,1,20,926,16.933,198256,0,0% 0% 0% 100%,16.950
binarytrees,clojure,1,20,657,31.020,569364,0,0% 0% 1% 100%,31.066
binarytrees,ocaml,1,20,563,14.824,485392,0,0% 0% 0% 100%,14.852
binarytrees,ghc,4,20,612,21.625,312868,0,0% 0% 1% 100%,21.662
binarytrees,perl,1,20,448,585.856,480396,0,0% 0% 0% 100%,586.355
binarytrees,ocaml,2,20,784,44.368,201748,0,0% 0% 0% 100%,44.469
binarytrees,v8,1,20,467,42.549,763160,0,0% 0% 1% 100%,42.628
binarytrees,gnat,5,20,2167,10.889,158404,0,1% 1% 1% 100%,10.916
binarytrees,jruby,1,20,412,0.000,910036,-2,1% 1% 0% 100%,610.024
binarytrees,hack,1,20,506,117.266,385224,0,0% 0% 0% 100%,117.392
binarytrees,yarv,5,20,1123,160.000,257600,0,1% 1% 0% 100%,160.177
binarytrees,yarv,3,20,439,194.553,1022388,0,1% 1% 0% 100%,194.702
binarytrees,sbcl,2,20,649,23.728,310176,0,0% 0% 1% 100%,23.772
binarytrees,lua,3,20,477,0.000,3734172,-1,46% 10% 8% 100%,3606.264
binarytrees,java,2,20,603,22.962,448112,0,0% 0% 1% 100%,22.994
binarytrees,gcc,3,20,906,9.334,149132,0,4% 0% 1% 100%,9.345
binarytrees,scala,1,20,549,21.373,391564,0,0% 1% 0% 100%,21.399
binarytrees,yarv,1,20,412,184.492,825196,0,1% 1% 0% 100%,184.647
binarytrees,fsharp,3,20,565,47.074,347828,0,1% 1% 1% 100%,47.143
binarytrees,python3,6,20,626,479.815,1123040,0,0% 1% 1% 100%,480.356
binarytrees,go,8,20,814,57.347,275708,0,1% 1% 0% 100%,57.425
binarytrees,racket,2,20,640,39.842,397088,0,0% 0% 1% 100%,39.905
binarytrees,rust,1,20,788,18.908,229288,0,1% 1% 1% 100%,18.937
binarytrees,hipe,1,20,441,67.660,872752,0,0% 0% 0% 100%,67.771
binarytrees,ifc,2,20,1199,23.201,149368,0,0% 0% 0% 100%,23.217
binarytrees,gcc,9,20,1103,7.300,229424,0,1% 1% 1% 100%,7.312
binarytrees,racket,1,20,495,48.832,460076,0,0% 1% 1% 100%,48.911
binarytrees,java,3,20,584,23.104,450320,0,0% 1% 1% 100%,23.136
binarytrees,fsharp,1,20,537,25.042,138316,0,1% 1% 0% 100%,25.079
binarytrees,go,1,20,516,107.207,312568,0,0% 1% 1% 100%,107.355
binarytrees,clojure,2,20,750,33.551,606024,0,0% 0% 1% 100%,33.596
binarytrees,gcc,2,20,594,3.680,49540,0,1% 0% 1% 100%,3.685
binarytrees,go,2,20,694,106.875,364276,0,0% 1% 1% 100%,107.017
binarytrees,gnat,4,20,2167,10.895,158312,0,1% 1% 0% 100%,10.923
binarytrees,csharp,2,20,650,54.840,607156,0,1% 1% 1% 100%,54.919
binarytrees,gnat,3,20,1342,98.575,658672,0,1% 0% 1% 100%,98.668
binarytrees,gcc,5,20,963,78.622,219040,0,0% 1% 1% 100%,78.693
binarytrees,gpp,7,20,919,10.618,100488,0,0% 1% 1% 100%,10.629
binarytrees,go,5,20,1000,107.424,364976,0,0% 1% 1% 100%,107.569
binarytrees,gnat,1,20,955,39.309,198172,0,1% 0% 0% 100%,39.350
binarytrees,clojure,6,20,705,30.524,523580,0,0% 1% 1% 100%,30.569
binarytrees,php,4,20,945,821.053,1809632,0,1% 1% 0% 100%,821.933
binarytrees,php,1,20,504,710.928,1021852,0,0% 0% 0% 100%,711.876
binarytrees,ocaml,5,20,496,43.800,232168,0,0% 0% 0% 100%,43.866
