name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,ghc,5,12,611,0.037,0,0,0% 0% 20% 100%,0.039
binarytrees,ghc,5,16,611,0.887,14108,0,0% 0% 2% 100%,0.889
binarytrees,ghc,5,20,611,22.583,204336,0,1% 0% 0% 100%,22.599
binarytrees,php,3,12,483,1.096,12156,0,0% 0% 2% 100%,1.117
binarytrees,php,3,16,483,39.140,151576,0,0% 0% 0% 100%,39.189
binarytrees,php,3,20,483,0.000,2106340,-2,1% 2% 1% 100%,13.629
binarytrees,hack,2,12,468,0.288,608,0,3% 0% 4% 100%,0.290
binarytrees,hack,2,16,468,3.184,76160,0,1% 0% 0% 100%,3.189
binarytrees,hack,2,20,468,66.584,385236,0,1% 1% 1% 100%,66.670
binarytrees,scala,4,12,494,0.254,708,0,0% 4% 4% 100%,0.256
binarytrees,scala,4,16,494,1.007,79436,0,0% 3% 4% 99%,1.012
binarytrees,scala,4,20,494,23.247,450892,0,0% 0% 0% 100%,23.279
binarytrees,yarv,4,12,402,0.379,592,0,0% 0% 3% 100%,0.382
binarytrees,yarv,4,16,402,7.381,30380,0,0% 1% 1% 100%,7.393
binarytrees,yarv,4,20,402,156.878,652544,0,1% 1% 1% 100%,157.052
binarytrees,scala,2,12,641,0.000,804,-2,0% 4% 4% 100%,0.256
binarytrees,scala,2,16,641,0.000,804,-2,0% 4% 4% 100%,0.256
binarytrees,scala,2,20,641,0.000,804,-2,0% 4% 4% 100%,0.256
binarytrees,yarv,2,12,413,0.459,8348,0,0% 2% 0% 100%,0.461
binarytrees,yarv,2,16,413,9.371,64404,0,2% 2% 2% 100%,9.378
binarytrees,yarv,2,20,413,190.058,825196,0,1% 1% 0% 100%,190.214
binarytrees,oz,1,12,479,2.120,134064,0,4% 11% 12% 100%,2.131
binarytrees,oz,1,16,479,45.776,1555968,0,1% 0% 0% 100%,45.808
binarytrees,oz,1,20,479,1603.720,1556232,0,0% 0% 0% 100%,1604.761
binarytrees,perl,3,12,706,0.000,0,-2,0% 0% 7% 94%,0.152
binarytrees,perl,3,16,706,0.000,0,-2,0% 0% 7% 94%,0.152
binarytrees,perl,3,20,706,0.000,0,-2,0% 0% 7% 94%,0.152
binarytrees,hipe,2,12,499,0.204,624,0,3% 0% 3% 100%,0.312
binarytrees,hipe,2,16,499,1.924,66648,0,3% 0% 1% 100%,1.933
binarytrees,hipe,2,20,499,57.352,647288,0,0% 0% 0% 100%,57.441
binarytrees,go,6,12,937,0.101,0,0,0% 0% 0% 100%,0.103
binarytrees,go,6,16,937,2.525,34120,0,1% 1% 0% 100%,2.531
binarytrees,go,6,20,937,51.636,406584,0,1% 1% 1% 100%,51.705
binarytrees,go,3,12,836,0.067,0,0,13% 0% 0% 100%,0.070
binarytrees,go,3,16,836,1.463,62312,0,1% 4% 2% 100%,1.468
binarytrees,go,3,20,836,30.687,623560,0,1% 0% 1% 100%,30.735
binarytrees,sbcl,1,12,612,0.065,0,0,13% 0% 0% 100%,0.067
binarytrees,sbcl,1,16,612,1.303,66252,0,0% 2% 1% 100%,1.307
binarytrees,sbcl,1,20,612,31.372,310180,0,0% 1% 1% 100%,31.429
binarytrees,fpascal,1,12,769,0.080,0,0,0% 0% 0% 100%,0.082
binarytrees,fpascal,1,16,769,1.739,5108,0,2% 1% 1% 100%,1.742
binarytrees,fpascal,1,20,769,41.606,131376,0,1% 1% 1% 100%,41.645
binarytrees,ghc,1,12,521,0.036,0,0,0% 0% 0% 100%,0.038
binarytrees,ghc,1,16,521,1.072,23032,0,1% 0% 0% 100%,1.075
binarytrees,ghc,1,20,521,25.422,314880,0,0% 1% 0% 100%,25.462
binarytrees,gcc,1,12,706,0.072,0,0,0% 0% 0% 100%,0.074
binarytrees,gcc,1,16,706,1.595,8644,0,1% 1% 1% 100%,1.598
binarytrees,gcc,1,20,706,36.247,131668,0,2% 1% 1% 100%,36.280
binarytrees,racket,3,12,877,0.000,30352,-10,0% 0% 4% 98%,0.493
binarytrees,racket,3,16,877,0.000,30352,-10,0% 0% 4% 98%,0.493
binarytrees,racket,3,20,877,0.000,30352,-10,0% 0% 4% 98%,0.493
binarytrees,dart,1,12,503,0.135,0,0,0% 0% 0% 100%,0.137
binarytrees,dart,1,16,503,0.846,88820,0,0% 2% 2% 100%,0.849
binarytrees,dart,1,20,503,28.316,292228,0,1% 1% 0% 100%,28.350
binarytrees,php,2,12,472,0.896,6560,0,0% 0% 1% 100%,0.925
binarytrees,php,2,16,472,25.036,67816,0,0% 1% 0% 100%,25.065
binarytrees,php,2,20,472,640.276,1025292,0,0% 0% 0% 100%,641.068
binarytrees,fsharp,2,12,515,0.542,23592,0,2% 2% 0% 100%,0.618
binarytrees,fsharp,2,16,515,2.255,59092,0,1% 1% 0% 100%,2.261
binarytrees,fsharp,2,20,515,73.864,246528,0,1% 1% 0% 100%,73.968
binarytrees,hack,3,12,480,0.246,560,0,4% 7% 7% 100%,0.266
binarytrees,hack,3,16,480,2.301,88544,0,0% 1% 0% 100%,2.306
binarytrees,hack,3,20,480,52.310,582848,0,1% 1% 0% 100%,52.387
binarytrees,vw,1,12,722,0.240,37000,0,5% 10% 13% 96%,1.185
binarytrees,vw,1,16,722,2.504,142644,0,6% 11% 6% 100%,2.511
binarytrees,vw,1,20,722,81.401,320668,0,0% 0% 0% 100%,81.494
binarytrees,lua,2,12,446,0.840,7356,0,1% 0% 1% 100%,0.843
binarytrees,lua,2,16,446,21.881,133556,0,9% 2% 1% 100%,21.917
binarytrees,lua,2,20,446,461.005,1776376,0,0% 0% 0% 100%,461.638
binarytrees,ats,3,12,2143,0.032,0,0,0% 0% 0% 100%,0.035
binarytrees,ats,3,16,2143,0.896,13312,0,0% 2% 1% 100%,0.901
binarytrees,ats,3,20,2143,16.349,296320,0,0% 0% 0% 100%,16.381
binarytrees,gpp,2,12,553,0.077,0,0,0% 0% 11% 100%,0.079
binarytrees,gpp,2,16,553,1.782,9252,0,0% 0% 1% 100%,1.785
binarytrees,gpp,2,20,553,39.306,197752,0,1% 1% 1% 100%,39.344
binarytrees,go,4,12,688,0.202,772,0,0% 0% 9% 91%,0.218
binarytrees,go,4,16,688,5.039,25396,0,1% 1% 1% 100%,5.048
binarytrees,go,4,20,688,105.851,362944,0,0% 1% 1% 100%,106.000
binarytrees,gcc,7,12,850,0.026,0,0,0% 0% 0% 100%,0.028
binarytrees,gcc,7,16,850,0.438,6904,0,5% 0% 0% 100%,0.440
binarytrees,gcc,7,20,850,9.543,149204,0,2% 1% 0% 100%,9.555
binarytrees,jruby,3,12,439,6.481,201416,0,1% 1% 1% 100%,6.492
binarytrees,jruby,3,16,439,11.056,638472,0,0% 1% 1% 100%,11.072
binarytrees,jruby,3,20,439,223.315,1011384,0,0% 1% 0% 100%,223.574
binarytrees,go,7,12,567,0.209,772,0,4% 0% 5% 95%,0.219
binarytrees,go,7,16,567,4.870,21148,0,1% 2% 1% 100%,4.883
binarytrees,go,7,20,567,104.046,315704,0,1% 1% 1% 100%,104.191
binarytrees,ifc,1,12,826,0.104,0,0,33% 7% 14% 86%,0.134
binarytrees,ifc,1,16,826,2.304,9004,0,1% 2% 1% 100%,2.309
binarytrees,ifc,1,20,826,47.991,132032,0,3% 0% 0% 100%,48.018
binarytrees,jruby,5,12,1123,7.414,367432,0,1% 1% 1% 100%,7.435
binarytrees,jruby,5,16,1123,11.410,665716,0,1% 1% 1% 100%,11.433
binarytrees,jruby,5,20,1123,1428.957,1054964,0,1% 1% 1% 100%,1430.331
binarytrees,csharp,1,12,654,0.103,0,0,0% 0% 0% 100%,0.105
binarytrees,csharp,1,16,654,0.641,34916,0,3% 0% 2% 98%,0.644
binarytrees,csharp,1,20,654,24.592,133464,0,1% 1% 0% 100%,24.629
binarytrees,ats,1,12,926,0.032,0,0,0% 0% 0% 100%,0.037
binarytrees,ats,1,16,926,0.788,12992,0,0% 0% 0% 100%,0.794
binarytrees,ats,1,20,926,16.933,198256,0,0% 0% 0% 100%,16.950
binarytrees,clojure,1,12,657,2.281,63592,0,0% 0% 2% 100%,2.296
binarytrees,clojure,1,16,657,3.269,162084,0,1% 0% 2% 100%,3.278
