name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,ghc,5,20,611,36.965,182616,0,57% 57% 100% 57%,13.762
binarytrees,php,3,20,483,1147.184,2380408,0,97% 0% 0% 3%,1149.088
binarytrees,hack,2,20,468,66.442,385236,0,100% 1% 1% 0%,66.527
binarytrees,scala,4,20,494,24.443,397928,0,52% 24% 24% 68%,14.775
binarytrees,yarv,4,20,402,155.300,652416,0,1% 0% 100% 1%,155.466
binarytrees,scala,2,20,641,0.000,688,-2,46% 8% 19% 42%,0.261
binarytrees,yarv,2,20,413,190.592,825016,0,1% 100% 1% 0%,190.731
binarytrees,perl,3,20,706,755.684,1593648,0,78% 95% 96% 89%,211.702
binarytrees,hipe,2,20,499,69.720,1028396,0,52% 57% 47% 95%,28.007
binarytrees,go,6,20,937,64.268,424620,0,58% 56% 52% 60%,28.750
binarytrees,go,3,20,836,41.176,629388,0,93% 96% 91% 95%,11.064
binarytrees,sbcl,1,20,612,31.363,310180,0,1% 1% 2% 100%,31.421
binarytrees,fpascal,1,20,769,40.913,131380,0,0% 1% 0% 100%,40.955
binarytrees,erlang,1,20,441,119.155,866752,0,4% 93% 3% 0%,119.297
binarytrees,ghc,1,20,521,58.217,355504,0,39% 39% 39% 100%,26.939
binarytrees,gcc,1,20,706,36.356,131668,0,1% 1% 1% 100%,36.390
binarytrees,racket,3,20,877,0.000,35188,-10,7% 0% 1% 70%,1.294
binarytrees,dart,1,20,503,28.351,292220,0,2% 1% 1% 100%,28.098
binarytrees,php,2,20,472,634.800,1025300,0,0% 0% 0% 100%,635.629
binarytrees,fsharp,2,20,515,74.464,235520,0,3% 41% 59% 1%,74.437
binarytrees,hack,3,20,480,52.229,582848,0,1% 1% 0% 100%,52.308
binarytrees,erlang,2,20,499,122.368,828976,0,93% 87% 92% 88%,34.070
binarytrees,ats,3,20,2143,18.289,328516,0,64% 99% 71% 62%,6.194
binarytrees,gpp,2,20,553,39.361,197748,0,0% 1% 100% 1%,39.398
binarytrees,go,4,20,688,172.538,362188,0,96% 97% 98% 96%,44.732
binarytrees,gcc,7,20,850,13.927,155264,0,93% 81% 74% 84%,4.243
binarytrees,jruby,3,20,439,161.453,1173932,0,27% 59% 47% 25%,102.933
binarytrees,go,7,20,567,104.091,314476,0,1% 36% 58% 8%,104.098
binarytrees,ifc,1,20,826,45.539,132316,0,98% 0% 2% 2%,45.568
binarytrees,jruby,5,20,1123,845.840,1202548,0,95% 95% 96% 96%,222.581
binarytrees,csharp,1,20,654,24.875,132132,0,98% 1% 2% 1%,24.854
